                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.58105,                0.38253,                 1.0702,                 0.9952,                      1,                  0.995,                0.85788,                0.47977,                0.51234,                0.66347,             0.00055188,             0.00055188,             0.00055188
                     64,                0.57572,                 0.3882,                 1.0804,                0.99164,                      1,                  0.995,                0.85132,                0.49702,                0.53522,                0.66992,             0.00053773,             0.00053773,             0.00053773
                     65,                0.59048,                0.40262,                 1.0826,                0.99101,                      1,                  0.995,                0.86408,                0.46141,                0.51244,                0.65426,             0.00052359,             0.00052359,             0.00052359
                     66,                0.59298,                0.39495,                 1.0947,                0.99217,                      1,                  0.995,                0.89804,                0.49785,                0.52033,                0.65671,             0.00050944,             0.00050944,             0.00050944
                     67,                0.57168,                0.37735,                  1.076,                0.99323,                      1,                  0.995,                 0.8883,                0.45102,                0.53579,                0.64355,             0.00049529,             0.00049529,             0.00049529
                     68,                0.55924,                0.37816,                  1.073,                0.99103,                      1,                  0.995,                0.89599,                0.46983,                 0.4741,                0.66002,             0.00048114,             0.00048114,             0.00048114
                     69,                 0.5765,                0.36351,                 1.0753,                0.99521,                      1,                  0.995,                0.89545,                0.44435,                0.50261,                0.64266,               0.000467,               0.000467,               0.000467
                     70,                 0.5492,                0.35477,                  1.066,                      1,                      1,                  0.995,                 0.9241,                0.48227,                0.55015,                0.66756,             0.00045285,             0.00045285,             0.00045285
                     71,                0.54906,                0.34597,                   1.05,                0.99326,                      1,                  0.995,                0.93509,                0.44173,                 0.4898,                0.64542,              0.0004387,              0.0004387,              0.0004387
                     72,                0.54263,                0.35069,                 1.0537,                0.99297,                      1,                  0.995,                0.93053,                 0.4353,                0.46771,                0.64487,             0.00042456,             0.00042456,             0.00042456
                     73,                0.54826,                0.35439,                 1.0553,                0.99378,                      1,                  0.995,                 0.8802,                0.43672,                0.47034,                0.63883,             0.00041041,             0.00041041,             0.00041041
                     74,                0.49898,                0.32667,                 1.0473,                 0.9962,                      1,                  0.995,                0.88228,                0.44755,                0.51975,                0.63794,             0.00039626,             0.00039626,             0.00039626
                     75,                0.54653,                0.34834,                 1.0614,                0.99621,                      1,                  0.995,                 0.9036,                 0.4452,                0.50865,                0.63947,             0.00038211,             0.00038211,             0.00038211
                     76,                 0.5363,                0.33991,                 1.0546,                0.99694,                      1,                  0.995,                0.91904,                0.42702,                0.46639,                0.63656,             0.00036797,             0.00036797,             0.00036797
                     77,                  0.525,                0.35894,                 1.0607,                0.99684,                      1,                  0.995,                0.90892,                0.44104,                0.48276,                0.64327,             0.00035382,             0.00035382,             0.00035382
                     78,                0.47717,                0.32644,                 1.0187,                0.99156,                      1,                  0.995,                0.93988,                0.42874,                0.49332,                0.63355,             0.00033967,             0.00033967,             0.00033967
                     79,                0.53164,                0.33548,                 1.0575,                0.99058,                      1,                  0.995,                0.91461,                0.45269,                0.51029,                0.63699,             0.00032553,             0.00032553,             0.00032553
                     80,                0.50886,                0.35006,                 1.0408,                0.99434,                      1,                  0.995,                0.92754,                0.43874,                0.46468,                0.63357,             0.00031138,             0.00031138,             0.00031138
                     81,                0.49447,                0.32596,                 1.0234,                0.99332,                      1,                  0.995,                0.91947,                0.46154,                0.49284,                0.64661,             0.00029723,             0.00029723,             0.00029723
                     82,                0.49292,                0.33121,                 1.0311,                0.99456,                      1,                  0.995,                0.87539,                0.42795,                0.48813,                0.63333,             0.00028308,             0.00028308,             0.00028308
                     83,                0.49421,                0.33567,                 1.0255,                0.99076,                      1,                  0.995,                0.90666,                0.45848,                0.49549,                0.65674,             0.00026894,             0.00026894,             0.00026894
                     84,                0.48374,                 0.3222,                 1.0278,                0.99086,                      1,                  0.995,                0.92895,                0.44059,                0.46417,                0.63534,             0.00025479,             0.00025479,             0.00025479
                     85,                0.48803,                0.32274,                  1.038,                0.99484,                      1,                  0.995,                0.93834,                0.42726,                0.48229,                0.63732,             0.00024064,             0.00024064,             0.00024064
                     86,                0.47154,                0.31229,                 1.0156,                0.99559,                      1,                  0.995,                0.93162,                 0.4317,                0.47476,                0.63148,              0.0002265,              0.0002265,              0.0002265
                     87,                0.46167,                0.29628,                 1.0197,                0.99526,                      1,                  0.995,                0.87643,                 0.4494,                0.45781,                 0.6414,             0.00021235,             0.00021235,             0.00021235
                     88,                0.45265,                 0.3018,                  1.021,                0.99612,                      1,                  0.995,                 0.8678,                0.46534,                0.48023,                0.64482,              0.0001982,              0.0001982,              0.0001982
                     89,                0.47366,                0.30837,                  1.023,                0.99483,                      1,                  0.995,                 0.9264,                0.44016,                0.45757,                0.64024,             0.00018406,             0.00018406,             0.00018406
                     90,                0.46615,                0.31254,                 1.0116,                0.99604,                      1,                  0.995,                 0.9347,                0.41709,                 0.4695,                0.62953,             0.00016991,             0.00016991,             0.00016991
                     91,                0.35684,                0.23133,                0.96074,                0.99114,                      1,                  0.995,                0.90777,                0.45014,                0.49178,                0.65597,             0.00015576,             0.00015576,             0.00015576
                     92,                0.34402,                0.22533,                0.96665,                0.99215,                      1,                  0.995,                0.89605,                0.43608,                0.46034,                0.63976,             0.00014161,             0.00014161,             0.00014161
                     93,                0.36086,                0.22947,                0.98982,                0.99648,                      1,                  0.995,                0.90593,                0.43899,                0.46343,                  0.639,             0.00012747,             0.00012747,             0.00012747
                     94,                0.33621,                0.21945,                0.94088,                0.99668,                      1,                  0.995,                0.92833,                0.43553,                0.46471,                0.63435,             0.00011332,             0.00011332,             0.00011332
                     95,                0.32349,                0.21024,                0.93219,                0.99671,                      1,                  0.995,                0.92784,                0.41107,                0.46692,                0.62477,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.32746,                0.20598,                0.94854,                 0.9964,                      1,                  0.995,                0.92077,                0.42725,                0.44654,                   0.63,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.31364,                 0.2062,                0.92563,                0.99679,                      1,                  0.995,                0.92157,                0.42516,                0.46795,                0.62985,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.31162,                0.20259,                0.94525,                0.99841,                      1,                  0.995,                 0.9199,                0.42647,                0.45832,                0.62808,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.30177,                0.19545,                0.93052,                0.99852,                      1,                  0.995,                0.92972,                  0.423,                0.45288,                0.62611,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.29616,                0.19903,                0.92828,                0.99858,                      1,                  0.995,                0.92224,                0.41783,                0.44668,                 0.6257,             2.8437e-05,             2.8437e-05,             2.8437e-05
